id,image,text,answer
1,./res/img/setC/setC_01.png,,afton
2,./res/img/setC/setC_02.png,,albion
3,./res/img/setC/setC_03.png,,argyle
4,./res/img/setC/setC_04.png,,atlanta
5,./res/img/setC/setC_05.png,,benson
6,./res/img/setC/setC_06.png,,billings
7,./res/img/setC/setC_07.png,,boise
8,./res/img/setC/setC_08.png,,boston
9,./res/img/setC/setC_09.png,,buffalo
10,./res/img/setC/setC_10.png,,chester
11,./res/img/setC/setC_11.png,,chicago
12,./res/img/setC/setC_12.png,,cuba
13,./res/img/setC/setC_13.png,,dallas
14,./res/img/setC/setC_14.png,,danville
15,./res/img/setC/setC_15.png,,dawson
16,./res/img/setC/setC_16.png,,denver
17,./res/img/setC/setC_17.png,,detroit
18,./res/img/setC/setC_18.png,,elkton
19,./res/img/setC/setC_19.png,,fairfax
20,./res/img/setC/setC_20.png,,fairview
21,./res/img/setC/setC_21.png,,fargo
22,./res/img/setC/setC_22.png,,fresno
23,./res/img/setC/setC_23.png,,glendale
24,./res/img/setC/setC_24.png,,goshen
25,./res/img/setC/setC_25.png,,hanover
26,./res/img/setC/setC_26.png,,hope
27,./res/img/setC/setC_27.png,,houston
28,./res/img/setC/setC_28.png,,jackson
29,./res/img/setC/setC_29.png,,jasper
30,./res/img/setC/setC_30.png,,lamar
31,./res/img/setC/setC_31.png,,lyman
32,./res/img/setC/setC_32.png,,madison
33,./res/img/setC/setC_33.png,,memphis
34,./res/img/setC/setC_34.png,,miami
35,./res/img/setC/setC_35.png,,mobile
36,./res/img/setC/setC_36.png,,morton
37,./res/img/setC/setC_37.png,,naples
38,./res/img/setC/setC_38.png,,newark
39,./res/img/setC/setC_39.png,,norwood
40,./res/img/setC/setC_40.png,,omaha
41,./res/img/setC/setC_41.png,,phoenix
42,./res/img/setC/setC_42.png,,plymouth
43,./res/img/setC/setC_43.png,,portland
44,./res/img/setC/setC_44.png,,provo
45,./res/img/setC/setC_45.png,,raleigh
46,./res/img/setC/setC_46.png,,reno
47,./res/img/setC/setC_47.png,,richmond
48,./res/img/setC/setC_48.png,,ridgeway
49,./res/img/setC/setC_49.png,,seattle
50,./res/img/setC/setC_50.png,,seneca
51,./res/img/setC/setC_51.png,,spencer
52,./res/img/setC/setC_52.png,,tampa
53,./res/img/setC/setC_53.png,,thayer
54,./res/img/setC/setC_54.png,,tulsa
55,./res/img/setC/setC_55.png,,verona
56,./res/img/setC/setC_56.png,,wayland
57,./res/img/setC/setC_57.png,,wichita
58,./res/img/setC/setC_58.png,,wilton
59,./res/img/setC/setC_59.png,,winfield
60,./res/img/setC/setC_60.png,,yale
