id,image,text,answer,mu,mu_domain,kappa,a,b
1,./res/img/setC/setC_01.png,NA,afton,0.3985795454545455,0.3488153287565752,33,19,0.3134832486239348
2,./res/img/setC/setC_02.png,NA,albion,0.3893310546875,0.3488153287565752,32,18.5,0.33921439170837414
3,./res/img/setC/setC_03.png,NA,argyle,0.3729166666666667,0.3488153287565752,33,19,0.3688988749186199
4,./res/img/setC/setC_04.png,NA,atlanta,0.3308712121212122,0.3488153287565752,33,19,0.2777338386304451
5,./res/img/setC/setC_05.png,NA,benson,0.3890050551470589,0.3488153287565752,34,19.5,0.3048472797169405
6,./res/img/setC/setC_06.png,NA,billings,0.3767456054687501,0.3488153287565752,32,18.5,0.32872451543807996
7,./res/img/setC/setC_07.png,NA,boise,0.3568800403225807,0.3488153287565752,31,18,0.3257126888152092
8,./res/img/setC/setC_08.png,NA,boston,0.26168323863636367,0.3488153287565752,33,19,0.2511673528497869
9,./res/img/setC/setC_09.png,NA,buffalo,0.3340317234848485,0.3488153287565752,33,19,0.29292308922969934
10,./res/img/setC/setC_10.png,NA,chester,0.33433948863636365,0.3488153287565752,33,19,0.27379430597478693
11,./res/img/setC/setC_11.png,NA,chicago,0.29069602272727274,0.3488153287565752,33,19,0.2665419699928977
12,./res/img/setC/setC_12.png,NA,cuba,0.3006510416666667,0.3488153287565752,33,19,0.29116388956705735
13,./res/img/setC/setC_13.png,NA,dallas,0.3090317234848485,0.3488153287565752,33,19,0.29136928673946494
14,./res/img/setC/setC_14.png,NA,danville,0.41651611328125004,0.3488153287565752,32,18.5,0.36980884313583373
15,./res/img/setC/setC_15.png,NA,dawson,0.3761600378787879,0.3488153287565752,33,19,0.3213651252515389
16,./res/img/setC/setC_16.png,NA,denver,0.34248342803030307,0.3488153287565752,33,19,0.3056423996434067
17,./res/img/setC/setC_17.png,NA,detroit,0.30121922348484853,0.3488153287565752,33,19,0.26823986169063685
18,./res/img/setC/setC_18.png,NA,elkton,0.3570194128787879,0.3488153287565752,33,19,0.3272502876050545
19,./res/img/setC/setC_19.png,NA,fairfax,0.3406982421875,0.3488153287565752,32,18.5,0.30883444786071784
20,./res/img/setC/setC_20.png,NA,fairview,0.331640625,0.3488153287565752,33,19,0.2845503234863281
21,./res/img/setC/setC_21.png,NA,fargo,0.38063446969696973,0.3488153287565752,33,19,0.32835098728989115
22,./res/img/setC/setC_22.png,NA,fresno,0.38067626953125006,0.3488153287565752,32,18.5,0.4558602881431582
23,./res/img/setC/setC_23.png,NA,glendale,0.34077435661764705,0.3488153287565752,34,19.5,0.2930876182107364
